0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-8.586455762,-33.17391797,1.528067173,-0.29363352,0.422935506,-0.089306809,0.118221709,-0.048043221,0.01106897,-0.079735827,0.159404888,0.010108695,-0.06489309,74.80864135,204.4019198,0.479405687,0.274073288,0.244563258,0.219191105,0.189177889,0.189351432,0.187312967,0.195695675,0.181982261,0.178314468,0.1767172,-708.3964185,-1945.76624,-0.755989897,-1.269933018,-0.373354751,-0.753368208,-0.499296468,-0.599584762,-0.578864126,-0.596331791,-0.331143108,-0.480886107,-0.702011626,0.867096155,-8.742363042,2.597866442,0.932190079,0.981075662,0.592575387,0.684872186,0.408931719,0.579249845,0.486730236,0.775172111,0.561463922,0.434829941
-7.360505065,-31.81483784,1.795854316,-0.093438343,0.472541618,0.018209507,0.114669456,-0.062463544,0.003874235,-0.08949871,0.1440384,0.087921694,0.055083034,74.33889811,202.8996332,0.512688117,0.283941491,0.354067251,0.230290389,0.192545512,0.229175034,0.22816359,0.221169622,0.195271306,0.194647968,0.187291653,-708.3964185,-1945.76624,-0.614080948,-0.932015193,-0.505381118,-0.804970307,-0.547554993,-0.930835854,-0.702937032,-0.707371173,-0.544873258,-0.463238293,-0.44552223,2.828078252,-6.601304035,2.889901896,0.666569153,1.477420571,0.732746178,0.811085471,0.568602182,0.620489859,0.556027433,0.769014646,0.841321721,0.645392409
-7.704502869,-31.11346422,1.466324128,-0.098964388,0.459061892,0.063702418,0.107548025,-0.018618362,0.039717776,0.012986076,0.106922559,0.008137179,-0.023549952,71.0014474,193.9348841,0.518173987,0.262486842,0.292005809,0.226720018,0.208156511,0.185742926,0.216550308,0.177441359,0.178638358,0.163006431,0.165142111,-708.3964185,-1945.76624,-0.640007122,-0.914600977,-0.300255282,-0.755065032,-0.514664963,-0.529156094,-0.603339037,-0.619351815,-0.497446068,-0.474988485,-0.585109542,1.843799714,-8.745382689,2.716086228,0.694225802,1.212663433,0.802413034,0.793703976,0.602982729,0.722480009,0.583908977,0.634645639,0.505875373,0.515104928
-9.965730318,-35.00370174,1.36213021,-0.118849327,0.292288171,-0.052398781,0.096052493,-0.038680318,0.103355419,0.078061041,0.155935803,0.022381213,0.062264138,74.06326159,202.562316,0.440098445,0.276008228,0.277132836,0.236834781,0.194845139,0.204904323,0.204635101,0.193862007,0.199380529,0.19456454,0.178568203,-708.3964185,-1945.76624,-0.400868217,-0.95205909,-0.660534585,-0.955056825,-0.692396982,-0.601516094,-0.539169264,-0.574523025,-0.686699005,-0.65798611,-0.512801989,1.621008474,-9.759662316,2.94581749,0.644217449,1.023352951,0.615564757,0.80537561,0.607098064,0.665346974,0.625349014,0.875000071,0.613094502,0.669747302
-6.35319225,-28.32333799,1.480258059,-0.062496109,0.335524978,0.022462009,0.126921699,-0.01846302,0.047234982,0.042432753,0.14294406,0.046600052,0.064504955,68.27717181,186.413862,0.526659858,0.344454911,0.271300195,0.233713714,0.211804888,0.201408827,0.2023588,0.175992331,0.202020364,0.194629274,0.16551241,-708.3964185,-1945.76624,-0.622045547,-1.208337917,-0.490905771,-0.616029171,-0.595024633,-0.638348706,-0.573742723,-0.479256888,-0.372484976,-0.464969157,-0.454632173,2.699886319,-6.393095492,2.568678148,0.841621478,1.040558414,0.734970695,0.652230126,0.481626864,0.588654333,0.707933477,0.908855238,0.720837355,0.508958944
-6.866747127,-30.22957389,1.267486548,-0.199464219,0.39479673,-0.005270093,0.017090897,0.034244932,0.078561415,0.098755853,0.155704527,0.070643912,0.067370805,73.04230349,199.3761154,0.432307705,0.263990111,0.300466679,0.225530469,0.223159616,0.192368072,0.193498041,0.189913662,0.188447639,0.209300887,0.183063848,-708.3964185,-1945.76624,-0.554920848,-0.928847839,-0.600945411,-0.591571662,-0.651465936,-0.483884932,-0.703185387,-0.423663464,-0.407788652,-0.758980727,-0.504666933,2.789806875,-6.660997847,2.200692868,0.517095123,1.25116892,0.698091801,0.701251502,0.6330413,0.744882018,0.681329766,0.646171609,0.757437436,0.526159598
-9.934838238,-36.83651131,1.546927689,-0.008473683,0.370927636,0.138215884,0.290876486,-0.039549997,0.039594484,-0.007188952,0.063703122,0.038818789,-0.008494074,77.1130799,210.6305795,0.595766562,0.270881985,0.321384068,0.215984569,0.218006446,0.192354607,0.203076542,0.211957141,0.1951912,0.19893881,0.197116428,-708.3964185,-1945.76624,-0.627736977,-1.17005896,-0.602153743,-0.599418115,-0.367724514,-0.700065093,-0.698012176,-0.6357665,-0.593229788,-0.540734761,-0.716565462,1.8796156,-9.248736151,2.751704715,0.752086581,1.284465992,0.719437441,0.91930547,0.478066354,0.552783854,0.580619384,0.57775236,0.719388301,0.509199761
-9.245665992,-35.7193838,1.233497036,-0.01725231,0.385195461,0.004665877,0.097221669,-0.119483829,0.079669635,0.106802315,0.083245892,-0.00772827,-0.096247978,76.58530429,209.1385686,0.664289591,0.300218075,0.252085505,0.245435976,0.224323598,0.219614764,0.194011659,0.189512488,0.221588783,0.199010287,0.187259706,-708.3964185,-1945.76624,-0.451788457,-0.975329858,-0.300162842,-0.939763312,-0.61793853,-0.796020506,-0.510465879,-0.547360257,-0.762310815,-0.771772331,-0.617328442,1.834655523,-8.180419617,2.724454995,0.879974249,1.519063808,0.822109556,0.981529775,0.513038147,0.72561167,0.71414083,0.784884193,0.474511246,0.449008876
-8.864986514,-34.66351127,1.093067361,-0.079759832,0.484424047,-0.025234428,0.167621668,-0.09385648,0.04779289,0.138018491,0.12475074,0.030006706,-0.034872036,74.83538786,204.3377288,0.58232622,0.31953041,0.265837496,0.232779236,0.196767374,0.212739702,0.192766974,0.204007626,0.214030529,0.215843633,0.180051037,-708.3964185,-1945.76624,-0.565496165,-1.023779959,-0.278792639,-0.742967086,-0.582951742,-0.793403842,-0.562870626,-0.706953411,-0.524955512,-0.554543558,-0.715169704,2.38912556,-9.519650548,2.539985189,0.819539119,1.359248941,0.590325359,0.919075993,0.64485412,0.590954828,0.724536207,0.769319543,0.618617887,0.452677186
-10.76746961,-38.47275933,1.134439466,-0.077013475,0.408066197,0.111095496,0.185974971,-0.084866985,0.085598618,0.102361605,0.147559142,-0.002995541,-0.042563698,79.91621293,218.3961473,0.665257624,0.312101514,0.298692194,0.239120426,0.216643176,0.1997587,0.215938876,0.198586213,0.191396457,0.173437186,0.189282031,-708.3964185,-1945.76624,-0.651312831,-1.437209444,-0.342698386,-0.617174946,-0.513703732,-0.73796154,-0.570941402,-0.551555731,-0.391011833,-0.510705651,-0.735314256,1.976425382,-10.48138921,2.642095951,0.6821244,1.610943735,0.750807135,0.752629291,0.649634275,0.601534586,0.797404418,0.708570832,0.494121993,0.481551575
